second,bitrate_kbps
0,128.184
1,314.192
2,316.208
3,323.784
4,430.68
5,467.72
6,448.04
7,367.832
8,581.616
9,661.784
10,830.328
11,721.736
12,514.832
13,580.528
14,560.216
15,515.336
16,221.792
17,221.0
18,214.68
19,131.848
20,472.072
21,90.68
22,41.152
23,875.752
24,468.608
25,793.848
26,667.544
27,635.12
28,640.48
29,804.032
30,641.264
31,631.776
32,949.088
33,987.584
34,316.632
35,304.04
36,309.664
37,304.144
38,291.04
39,288.352
40,250.64
41,262.872
42,240.104
43,533.64
44,385.256
45,325.248
46,322.672
47,684.168
48,446.768
49,507.192
50,471.744
51,324.688
52,340.776
53,393.144
54,520.384
55,603.264
56,234.376
57,107.136
58,211.008
59,96.864
60,292.6
61,225.84
62,216.16
63,574.888
64,173.2
65,299.352
66,521.728
67,514.248
68,512.128
69,561.824
70,45.608
71,402.944
72,131.968
73,333.0
74,607.664
75,873.48
76,604.456
77,907.04
78,847.016
79,1016.976
80,432.48
81,380.176
82,367.648
83,287.448
84,63.208
85,92.424
86,182.872
87,283.256
88,54.568
89,450.712
90,212.76
91,377.048
92,74.728
93,78.408
94,97.624
95,209.552
96,296.608
97,181.072
98,87.488
99,449.032
100,150.952
101,490.28
102,208.68
103,228.752
104,253.32
105,366.92
106,318.488
107,274.6
108,334.8
109,233.104
110,218.912
111,333.856
112,807.352
113,437.896
114,218.256
115,348.704
116,449.696
117,560.024
118,457.76
119,760.776
120,506.592
121,520.52
122,354.528
123,584.624
124,307.472
125,208.952
126,580.2
127,385.248
128,266.144
129,218.128
130,212.68
131,328.28
132,258.08
133,364.936
134,368.248
135,366.232
136,335.176
137,645.32
138,379.48
139,386.696
140,421.128
141,271.808
142,474.624
143,615.152
144,268.176
145,165.152
146,591.872
147,115.32
148,32.472
149,585.512
150,288.312
151,417.864
152,430.784
153,630.24
154,243.376
155,224.536
156,525.312
157,44.6
158,140.808
159,171.624
160,546.016
161,355.92
162,389.928
163,678.472
164,351.84
165,336.872
166,205.216
167,155.344
168,652.816
169,435.168
170,199.36
171,140.928
172,145.496
173,218.864
174,254.968
175,349.216
176,854.24
177,674.768
178,281.944
179,284.944
180,746.32
181,555.968
182,573.016
183,500.104
184,644.648
185,239.04
186,764.312
187,769.76
188,569.16
189,397.128
190,24.888
191,44.32
192,889.008
193,574.12
194,479.328
195,836.752
196,790.784
197,113.136
198,388.744
199,344.12
200,319.184
201,469.2
202,192.184
203,152.392
204,286.544
205,333.312
206,416.016
207,395.936
208,485.192
209,708.016
210,742.088
211,885.88
212,1111.368
213,997.864
214,306.424
215,340.016
216,334.136
217,394.624
218,440.768
219,345.664
220,268.776
221,367.768
222,29.896
223,619.056
224,109.848
225,269.144
226,750.848
227,538.2
228,178.256
229,847.896
230,65.28
231,71.872
232,430.024
233,300.208
234,221.736
235,252.008
236,196.808
237,294.44
238,211.704
239,270.816
240,186.304
241,386.864
242,934.88
243,948.704
244,864.288
245,519.24
246,747.304
247,644.048
248,768.032
249,555.848
250,284.112
251,292.288
252,663.416
253,930.536
254,321.528
255,362.888
256,126.16
257,646.936
258,438.936
259,865.256
260,491.296
261,362.424
262,476.448
263,412.432
264,392.2
265,284.304
266,566.224
267,305.968
268,412.8
269,330.088
270,969.224
271,738.84
272,734.32
273,754.064
274,361.104
275,357.712
276,367.512
277,831.6
278,539.984
279,743.728
280,532.272
281,334.808
