second,bitrate_kbps
0,14.512
1,39.128
2,29.328
3,31.656
4,45.096
5,43.648
6,43.848
7,35.328
8,55.96
9,64.208
10,78.2
11,70.064
12,28.712
13,33.768
14,32.192
15,54.848
16,34.36
17,35.528
18,33.672
19,19.528
20,78.896
21,14.136
22,8.28
23,68.504
24,38.376
25,62.168
26,52.256
27,40.376
28,38.176
29,60.6
30,52.992
31,57.632
32,70.656
33,86.192
34,31.432
35,29.456
36,29.896
37,28.568
38,28.752
39,25.608
40,24.176
41,21.336
42,22.376
43,40.44
44,36.808
45,31.888
46,33.792
47,71.088
48,47.44
49,66.448
50,39.144
51,28.792
52,31.968
53,30.72
54,60.84
55,72.752
56,36.728
57,25.456
58,39.936
59,15.432
60,51.424
61,37.344
62,41.6
63,92.392
64,24.256
65,50.272
66,89.672
67,84.544
68,101.856
69,92.288
70,6.312
71,53.064
72,16.544
73,60.328
74,123.624
75,109.936
76,53.68
77,80.192
78,78.656
79,104.432
80,70.592
81,51.44
82,45.664
83,26.912
84,9.824
85,14.712
86,31.192
87,37.736
88,8.968
89,60.232
90,18.144
91,47.88
92,12.696
93,14.304
94,16.904
95,41.512
96,47.512
97,23.36
98,11.216
99,56.024
100,18.392
101,59.712
102,24.088
103,33.512
104,48.416
105,70.0
106,53.32
107,43.232
108,48.904
109,35.472
110,34.464
111,60.064
112,117.744
113,66.16
114,28.12
115,45.92
116,65.808
117,76.016
118,63.416
119,105.608
120,67.6
121,68.512
122,46.288
123,69.008
124,30.792
125,21.32
126,69.216
127,44.032
128,27.8
129,21.16
130,26.848
131,37.064
132,32.52
133,51.072
134,49.312
135,43.76
136,39.176
137,75.912
138,39.688
139,46.072
140,47.44
141,30.192
142,64.576
143,87.592
144,22.992
145,17.304
146,42.496
147,13.04
148,6.816
149,64.784
150,37.576
151,56.048
152,58.504
153,71.368
154,26.192
155,28.712
156,57.88
157,7.96
158,21.008
159,21.912
160,68.168
161,42.312
162,64.744
163,85.248
164,41.728
165,40.816
166,32.496
167,27.36
168,74.392
169,64.04
170,28.784
171,27.168
172,30.144
173,40.216
174,40.68
175,58.256
176,105.28
177,82.384
178,33.76
179,41.176
180,93.832
181,67.392
182,67.576
183,64.92
184,81.232
185,33.728
186,127.144
187,129.112
188,97.056
189,47.064
190,4.92
191,8.376
192,141.44
193,96.952
194,85.304
195,148.016
196,138.688
197,14.76
198,60.664
199,46.336
200,45.992
201,65.4
202,19.696
203,15.6
204,39.048
205,49.352
206,55.328
207,61.912
208,74.632
209,103.312
210,109.024
211,128.888
212,168.176
213,155.152
214,41.896
215,46.92
216,45.4
217,52.536
218,55.04
219,41.672
220,40.952
221,41.848
222,7.288
223,59.92
224,5.048
225,29.752
226,100.504
227,66.688
228,15.0
229,85.432
230,8.608
231,11.552
232,56.976
233,32.944
234,23.136
235,29.6
236,19.84
237,31.432
238,19.536
239,26.376
240,20.504
241,55.936
242,89.832
243,97.64
244,95.432
245,53.56
246,90.592
247,66.496
248,96.208
249,66.416
250,40.008
251,43.112
252,107.784
253,121.28
254,34.112
255,45.664
256,14.76
257,82.888
258,58.696
259,104.544
260,56.16
261,47.952
262,71.976
263,50.728
264,47.736
265,36.384
266,71.184
267,29.12
268,48.208
269,41.456
270,92.896
271,73.104
272,74.536
273,72.84
274,31.664
275,40.592
276,55.296
277,103.784
278,59.104
279,80.52
280,47.704
281,38.192
282,45.856
283,41.304
284,72.336
285,10.24
286,7.256
287,9.168
288,13.824
289,15.256
